temp,year,month
11.5,1940,1
11.87,1940,2
12.52,1940,3
13.76,1940,4
14.75,1940,5
15.31,1940,6
15.78,1940,7
15.61,1940,8
14.81,1940,9
13.63,1940,10
12.61,1940,11
12.07,1940,12
11.76,1941,1
12.19,1941,2
12.7,1941,3
13.55,1941,4
14.65,1941,5
15.49,1941,6
15.69,1941,7
15.64,1941,8
14.59,1941,9
13.94,1941,10
12.59,1941,11
11.97,1941,12
11.88,1942,1
11.93,1942,2
12.7,1942,3
13.56,1942,4
14.65,1942,5
15.3,1942,6
15.5,1942,7
15.36,1942,8
14.71,1942,9
13.72,1942,10
12.5,1942,11
11.85,1942,12
11.62,1943,1
12.05,1943,2
12.52,1943,3
13.59,1943,4
14.63,1943,5
15.22,1943,6
15.49,1943,7
15.34,1943,8
14.74,1943,9
13.8,1943,10
12.69,1943,11
12.06,1943,12
12.05,1944,1
12.23,1944,2
12.95,1944,3
13.73,1944,4
14.66,1944,5
15.47,1944,6
15.7,1944,7
15.64,1944,8
15.03,1944,9
13.99,1944,10
12.68,1944,11
11.9,1944,12
11.7,1945,1
11.81,1945,2
12.6,1945,3
13.7,1945,4
14.53,1945,5
15.45,1945,6
15.58,1945,7
15.78,1945,8
14.92,1945,9
13.89,1945,10
12.61,1945,11
11.8,1945,12
11.82,1946,1
12.0,1946,2
12.76,1946,3
13.74,1946,4
14.71,1946,5
15.34,1946,6
15.65,1946,7
15.44,1946,8
14.79,1946,9
13.67,1946,10
12.65,1946,11
11.83,1946,12
11.81,1947,1
12.0,1947,2
12.83,1947,3
13.85,1947,4
14.69,1947,5
15.46,1947,6
15.69,1947,7
15.45,1947,8
14.75,1947,9
13.87,1947,10
12.68,1947,11
11.85,1947,12
11.79,1948,1
11.89,1948,2
12.52,1948,3
13.62,1948,4
14.72,1948,5
15.38,1948,6
15.63,1948,7
15.54,1948,8
14.73,1948,9
13.86,1948,10
12.75,1948,11
11.77,1948,12
11.9,1949,1
11.98,1949,2
12.71,1949,3
13.63,1949,4
14.65,1949,5
15.3,1949,6
15.67,1949,7
15.45,1949,8
14.81,1949,9
13.78,1949,10
12.72,1949,11
11.99,1949,12
11.53,1950,1
11.79,1950,2
12.64,1950,3
13.53,1950,4
14.56,1950,5
15.34,1950,6
15.52,1950,7
15.3,1950,8
14.78,1950,9
13.8,1950,10
12.47,1950,11
12.0,1950,12
11.52,1951,1
11.68,1951,2
12.56,1951,3
13.64,1951,4
14.85,1951,5
15.48,1951,6
15.56,1951,7
15.62,1951,8
14.95,1951,9
13.96,1951,10
12.79,1951,11
12.2,1951,12
11.93,1952,1
12.14,1952,2
12.67,1952,3
13.66,1952,4
14.7,1952,5
15.44,1952,6
15.69,1952,7
15.42,1952,8
14.83,1952,9
13.75,1952,10
12.46,1952,11
11.96,1952,12
11.79,1953,1
12.12,1953,2
12.76,1953,3
13.86,1953,4
14.87,1953,5
15.46,1953,6
15.73,1953,7
15.58,1953,8
14.81,1953,9
13.85,1953,10
12.68,1953,11
12.07,1953,12
11.57,1954,1
11.93,1954,2
12.66,1954,3
13.59,1954,4
14.62,1954,5
15.25,1954,6
15.5,1954,7
15.31,1954,8
14.57,1954,9
13.67,1954,10
12.69,1954,11
11.85,1954,12
11.86,1955,1
11.81,1955,2
12.38,1955,3
13.52,1955,4
14.54,1955,5
15.26,1955,6
15.47,1955,7
15.51,1955,8
14.76,1955,9
13.71,1955,10
12.45,1955,11
11.72,1955,12
11.69,1956,1
11.85,1956,2
12.57,1956,3
13.48,1956,4
14.43,1956,5
15.18,1956,6
15.45,1956,7
15.23,1956,8
14.52,1956,9
13.46,1956,10
12.52,1956,11
11.92,1956,12
11.65,1957,1
11.93,1957,2
12.61,1957,3
13.7,1957,4
14.72,1957,5
15.51,1957,6
15.65,1957,7
15.58,1957,8
14.91,1957,9
13.92,1957,10
12.86,1957,11
12.21,1957,12
12.15,1958,1
12.26,1958,2
12.87,1958,3
13.82,1958,4
14.84,1958,5
15.44,1958,6
15.74,1958,7
15.53,1958,8
14.79,1958,9
13.82,1958,10
12.74,1958,11
12.06,1958,12
11.93,1959,1
12.17,1959,2
12.98,1959,3
13.89,1959,4
14.73,1959,5
15.47,1959,6
15.7,1959,7
15.52,1959,8
14.74,1959,9
13.81,1959,10
12.63,1959,11
12.07,1959,12
11.87,1960,1
12.24,1960,2
12.5,1960,3
13.62,1960,4
14.64,1960,5
15.41,1960,6
15.65,1960,7
15.58,1960,8
14.82,1960,9
13.88,1960,10
12.65,1960,11
12.23,1960,12
11.92,1961,1
12.24,1961,2
12.85,1961,3
13.84,1961,4
14.83,1961,5
15.52,1961,6
15.74,1961,7
15.56,1961,8
14.93,1961,9
13.87,1961,10
12.76,1961,11
11.95,1961,12
11.85,1962,1
12.2,1962,2
12.85,1962,3
13.77,1962,4
14.63,1962,5
15.33,1962,6
15.69,1962,7
15.51,1962,8
14.8,1962,9
13.84,1962,10
12.77,1962,11
12.04,1962,12
11.79,1963,1
12.2,1963,2
12.56,1963,3
13.63,1963,4
14.64,1963,5
15.46,1963,6
15.8,1963,7
15.76,1963,8
15.0,1963,9
13.94,1963,10
12.86,1963,11
12.09,1963,12
11.8,1964,1
12.05,1964,2
12.57,1964,3
13.49,1964,4
14.55,1964,5
15.34,1964,6
15.73,1964,7
15.42,1964,8
14.55,1964,9
13.44,1964,10
12.49,1964,11
11.75,1964,12
11.7,1965,1
11.89,1965,2
12.63,1965,3
13.56,1965,4
14.63,1965,5
15.31,1965,6
15.6,1965,7
15.44,1965,8
14.72,1965,9
13.77,1965,10
12.68,1965,11
12.01,1965,12
11.7,1966,1
12.06,1966,2
12.78,1966,3
13.67,1966,4
14.64,1966,5
15.47,1966,6
15.82,1966,7
15.53,1966,8
14.85,1966,9
13.67,1966,10
12.67,1966,11
12.01,1966,12
11.71,1967,1
11.82,1967,2
12.77,1967,3
13.71,1967,4
14.84,1967,5
15.39,1967,6
15.7,1967,7
15.54,1967,8
14.86,1967,9
13.93,1967,10
12.7,1967,11
12.05,1967,12
11.6,1968,1
11.95,1968,2
12.88,1968,3
13.67,1968,4
14.62,1968,5
15.3,1968,6
15.64,1968,7
15.46,1968,8
14.7,1968,9
13.88,1968,10
12.66,1968,11
11.93,1968,12
11.74,1969,1
11.96,1969,2
12.79,1969,3
13.9,1969,4
14.9,1969,5
15.51,1969,6
15.7,1969,7
15.45,1969,8
14.87,1969,9
13.84,1969,10
12.89,1969,11
12.31,1969,12
11.94,1970,1
12.26,1970,2
12.81,1970,3
13.88,1970,4
14.72,1970,5
15.48,1970,6
15.71,1970,7
15.43,1970,8
14.83,1970,9
13.81,1970,10
12.71,1970,11
11.97,1970,12
11.78,1971,1
11.88,1971,2
12.6,1971,3
13.65,1971,4
14.57,1971,5
15.26,1971,6
15.53,1971,7
15.41,1971,8
14.77,1971,9
13.65,1971,10
12.62,1971,11
11.98,1971,12
11.57,1972,1
11.82,1972,2
12.69,1972,3
13.75,1972,4
14.69,1972,5
15.57,1972,6
15.81,1972,7
15.66,1972,8
14.9,1972,9
13.9,1972,10
12.73,1972,11
12.23,1972,12
12.09,1973,1
12.4,1973,2
12.96,1973,3
13.95,1973,4
14.89,1973,5
15.53,1973,6
15.78,1973,7
15.49,1973,8
14.85,1973,9
13.8,1973,10
12.76,1973,11
12.06,1973,12
11.7,1974,1
11.78,1974,2
12.61,1974,3
13.6,1974,4
14.53,1974,5
15.26,1974,6
15.53,1974,7
15.49,1974,8
14.65,1974,9
13.61,1974,10
12.57,1974,11
11.9,1974,12
11.8,1975,1
12.07,1975,2
12.8,1975,3
13.72,1975,4
14.63,1975,5
15.29,1975,6
15.5,1975,7
15.27,1975,8
14.61,1975,9
13.52,1975,10
12.49,1975,11
11.84,1975,12
11.71,1976,1
11.83,1976,2
12.4,1976,3
13.54,1976,4
14.39,1976,5
15.24,1976,6
15.57,1976,7
15.36,1976,8
14.75,1976,9
13.39,1976,10
12.55,1976,11
12.0,1976,12
11.9,1977,1
12.14,1977,2
12.83,1977,3
13.85,1977,4
14.85,1977,5
15.59,1977,6
15.79,1977,7
15.65,1977,8
14.8,1977,9
13.73,1977,10
12.89,1977,11
12.12,1977,12
11.89,1978,1
12.15,1978,2
12.84,1978,3
13.81,1978,4
14.77,1978,5
15.36,1978,6
15.74,1978,7
15.39,1978,8
14.76,1978,9
13.75,1978,10
12.84,1978,11
12.15,1978,12
12.02,1979,1
12.04,1979,2
12.92,1979,3
13.85,1979,4
14.81,1979,5
15.55,1979,6
15.73,1979,7
15.7,1979,8
15.07,1979,9
14.08,1979,10
12.99,1979,11
12.53,1979,12
12.14,1980,1
12.48,1980,2
13.13,1980,3
14.18,1980,4
15.17,1980,5
15.73,1980,6
16.02,1980,7
15.83,1980,8
15.08,1980,9
13.99,1980,10
12.94,1980,11
12.19,1980,12
12.27,1981,1
12.48,1981,2
13.25,1981,3
14.15,1981,4
15.03,1981,5
15.73,1981,6
15.99,1981,7
15.88,1981,8
15.11,1981,9
14.03,1981,10
12.95,1981,11
12.43,1981,12
11.86,1982,1
12.24,1982,2
12.77,1982,3
13.82,1982,4
14.89,1982,5
15.56,1982,6
15.89,1982,7
15.66,1982,8
14.98,1982,9
13.93,1982,10
12.85,1982,11
12.43,1982,12
12.29,1983,1
12.54,1983,2
13.22,1983,3
14.08,1983,4
15.13,1983,5
15.72,1983,6
15.91,1983,7
15.86,1983,8
15.25,1983,9
13.97,1983,10
13.02,1983,11
12.24,1983,12
12.04,1984,1
12.17,1984,2
13.02,1984,3
13.89,1984,4
15.05,1984,5
15.48,1984,6
15.7,1984,7
15.67,1984,8
14.96,1984,9
13.92,1984,10
12.72,1984,11
12.06,1984,12
12.02,1985,1
12.03,1985,2
12.88,1985,3
13.89,1985,4
14.82,1985,5
15.52,1985,6
15.69,1985,7
15.72,1985,8
14.93,1985,9
13.8,1985,10
12.78,1985,11
12.12,1985,12
12.01,1986,1
12.35,1986,2
13.0,1986,3
14.06,1986,4
14.99,1986,5
15.53,1986,6
15.78,1986,7
15.67,1986,8
14.92,1986,9
13.85,1986,10
12.87,1986,11
12.22,1986,12
12.11,1987,1
12.44,1987,2
12.93,1987,3
14.03,1987,4
14.99,1987,5
15.79,1987,6
16.14,1987,7
15.84,1987,8
15.22,1987,9
14.1,1987,10
13.0,1987,11
12.54,1987,12
12.31,1988,1
12.4,1988,2
13.22,1988,3
14.17,1988,4
15.16,1988,5
15.83,1988,6
16.03,1988,7
15.95,1988,8
15.26,1988,9
14.09,1988,10
12.8,1988,11
12.3,1988,12
11.85,1989,1
12.39,1989,2
13.05,1989,3
14.05,1989,4
14.85,1989,5
15.58,1989,6
15.99,1989,7
15.79,1989,8
15.16,1989,9
14.07,1989,10
12.88,1989,11
12.43,1989,12
12.21,1990,1
12.45,1990,2
13.48,1990,3
14.31,1990,4
15.25,1990,5
15.8,1990,6
16.15,1990,7
15.95,1990,8
15.22,1990,9
14.29,1990,10
13.25,1990,11
12.52,1990,12
12.28,1991,1
12.61,1991,2
13.16,1991,3
14.24,1991,4
15.08,1991,5
16.01,1991,6
16.18,1991,7
15.97,1991,8
15.24,1991,9
14.1,1991,10
13.01,1991,11
12.33,1991,12
12.23,1992,1
12.48,1992,2
13.16,1992,3
13.94,1992,4
14.92,1992,5
15.66,1992,6
15.77,1992,7
15.62,1992,8
14.84,1992,9
13.84,1992,10
12.75,1992,11
12.2,1992,12
12.13,1993,1
12.42,1993,2
13.05,1993,3
14.04,1993,4
14.97,1993,5
15.68,1993,6
15.88,1993,7
15.73,1993,8
14.93,1993,9
14.02,1993,10
12.83,1993,11
12.31,1993,12
12.05,1994,1
12.09,1994,2
12.99,1994,3
14.08,1994,4
14.91,1994,5
15.73,1994,6
15.95,1994,7
15.73,1994,8
15.21,1994,9
14.15,1994,10
13.12,1994,11
12.39,1994,12
12.31,1995,1
12.79,1995,2
13.17,1995,3
14.24,1995,4
15.03,1995,5
15.9,1995,6
16.13,1995,7
16.0,1995,8
15.25,1995,9
14.25,1995,10
13.15,1995,11
12.33,1995,12
12.08,1996,1
12.51,1996,2
13.1,1996,3
14.02,1996,4
14.89,1996,5
15.67,1996,6
16.02,1996,7
16.0,1996,8
15.12,1996,9
14.01,1996,10
13.15,1996,11
12.42,1996,12
12.07,1997,1
12.42,1997,2
13.24,1997,3
14.03,1997,4
15.01,1997,5
15.9,1997,6
16.06,1997,7
15.98,1997,8
15.38,1997,9
14.39,1997,10
13.35,1997,11
12.62,1997,12
12.39,1998,1
12.88,1998,2
13.37,1998,3
14.48,1998,4
15.44,1998,5
16.17,1998,6
16.35,1998,7
16.25,1998,8
15.39,1998,9
14.27,1998,10
13.13,1998,11
12.58,1998,12
12.21,1999,1
12.68,1999,2
13.02,1999,3
14.06,1999,4
14.96,1999,5
15.75,1999,6
16.03,1999,7
15.87,1999,8
15.25,1999,9
14.15,1999,10
13.07,1999,11
12.44,1999,12
12.05,2000,1
12.59,2000,2
13.19,2000,3
14.28,2000,4
15.04,2000,5
15.74,2000,6
15.99,2000,7
15.94,2000,8
15.21,2000,9
14.05,2000,10
13.02,2000,11
12.32,2000,12
12.21,2001,1
12.45,2001,2
13.25,2001,3
14.21,2001,4
15.22,2001,5
15.87,2001,6
16.21,2001,7
16.06,2001,8
15.37,2001,9
14.34,2001,10
13.47,2001,11
12.7,2001,12
12.54,2002,1
12.72,2002,2
13.6,2002,3
14.3,2002,4
15.34,2002,5
16.01,2002,6
16.26,2002,7
16.06,2002,8
15.45,2002,9
14.37,2002,10
13.32,2002,11
12.54,2002,12
12.55,2003,1
12.64,2003,2
13.24,2003,3
14.24,2003,4
15.25,2003,5
15.84,2003,6
16.18,2003,7
16.16,2003,8
15.52,2003,9
14.55,2003,10
13.33,2003,11
12.84,2003,12
12.4,2004,1
12.76,2004,2
13.4,2004,3
14.35,2004,4
15.05,2004,5
15.89,2004,6
15.95,2004,7
15.95,2004,8
15.41,2004,9
14.45,2004,10
13.44,2004,11
12.57,2004,12
12.59,2005,1
12.74,2005,2
13.5,2005,3
14.43,2005,4
15.33,2005,5
16.06,2005,6
16.31,2005,7
16.14,2005,8
15.58,2005,9
14.62,2005,10
13.5,2005,11
12.77,2005,12
12.4,2006,1
12.82,2006,2
13.4,2006,3
14.29,2006,4
15.19,2006,5
16.06,2006,6
16.23,2006,7
16.18,2006,8
15.49,2006,9
14.58,2006,10
13.47,2006,11
12.86,2006,12
12.81,2007,1
12.82,2007,2
13.41,2007,3
14.54,2007,4
15.35,2007,5
15.96,2007,6
16.24,2007,7
16.09,2007,8
15.36,2007,9
14.43,2007,10
13.33,2007,11
12.58,2007,12
12.11,2008,1
12.41,2008,2
13.43,2008,3
14.23,2008,4
15.16,2008,5
15.78,2008,6
16.21,2008,7
16.03,2008,8
15.42,2008,9
14.48,2008,10
13.42,2008,11
12.62,2008,12
12.5,2009,1
12.69,2009,2
13.29,2009,3
14.3,2009,4
15.26,2009,5
15.99,2009,6
16.37,2009,7
16.16,2009,8
15.55,2009,9
14.53,2009,10
13.51,2009,11
12.73,2009,12
12.64,2010,1
12.95,2010,2
13.68,2010,3
14.61,2010,4
15.46,2010,5
16.07,2010,6
16.28,2010,7
16.16,2010,8
15.55,2010,9
14.56,2010,10
13.5,2010,11
12.56,2010,12
12.35,2011,1
12.55,2011,2
13.35,2011,3
14.38,2011,4
15.22,2011,5
16.0,2011,6
16.37,2011,7
16.22,2011,8
15.49,2011,9
14.48,2011,10
13.28,2011,11
12.63,2011,12
12.28,2012,1
12.55,2012,2
13.27,2012,3
14.42,2012,4
15.44,2012,5
16.1,2012,6
16.27,2012,7
16.19,2012,8
15.56,2012,9
14.67,2012,10
13.57,2012,11
12.63,2012,12
12.59,2013,1
12.75,2013,2
13.43,2013,3
14.33,2013,4
15.28,2013,5
16.09,2013,6
16.2,2013,7
16.17,2013,8
15.62,2013,9
14.5,2013,10
13.52,2013,11
12.79,2013,12
12.57,2014,1
12.63,2014,2
13.5,2014,3
14.47,2014,4
15.44,2014,5
16.06,2014,6
16.29,2014,7
16.25,2014,8
15.63,2014,9
14.61,2014,10
13.42,2014,11
12.85,2014,12
12.63,2015,1
12.93,2015,2
13.64,2015,3
14.42,2015,4
15.44,2015,5
16.17,2015,6
16.38,2015,7
16.35,2015,8
15.71,2015,9
14.89,2015,10
13.76,2015,11
13.2,2015,12
12.99,2016,1
13.42,2016,2
14.03,2016,3
14.89,2016,4
15.68,2016,5
16.24,2016,6
16.59,2016,7
16.51,2016,8
15.8,2016,9
14.79,2016,10
13.78,2016,11
13.0,2016,12
12.85,2017,1
13.23,2017,2
13.91,2017,3
14.69,2017,4
15.63,2017,5
16.18,2017,6
16.49,2017,7
16.41,2017,8
15.73,2017,9
14.81,2017,10
13.62,2017,11
13.04,2017,12
12.68,2018,1
12.99,2018,2
13.68,2018,3
14.67,2018,4
15.51,2018,5
16.21,2018,6
16.51,2018,7
16.32,2018,8
15.65,2018,9
14.8,2018,10
13.61,2018,11
13.0,2018,12
12.73,2019,1
13.04,2019,2
13.92,2019,3
14.8,2019,4
15.62,2019,5
16.35,2019,6
16.63,2019,7
16.47,2019,8
15.83,2019,9
14.9,2019,10
13.78,2019,11
13.2,2019,12
13.02,2020,1
13.33,2020,2
13.9,2020,3
14.88,2020,4
15.73,2020,5
16.34,2020,6
16.55,2020,7
16.38,2020,8
15.88,2020,9
14.82,2020,10
13.91,2020,11
12.9,2020,12
12.69,2021,1
12.79,2021,2
13.6,2021,3
14.55,2021,4
15.52,2021,5
16.2,2021,6
16.56,2021,7
16.42,2021,8
15.85,2021,9
14.87,2021,10
13.72,2021,11
12.99,2021,12
12.72,2022,1
12.96,2022,2
13.8,2022,3
14.64,2022,4
15.52,2022,5
16.29,2022,6
16.61,2022,7
16.41,2022,8
15.8,2022,9
14.86,2022,10
13.53,2022,11
12.94,2022,12
12.69,2023,1
13.02,2023,2
13.92,2023,3
14.68,2023,4
15.66,2023,5
16.51,2023,6
16.95,2023,7
16.82,2023,8
16.38,2023,9
15.3,2023,10
14.22,2023,11
13.51,2023,12
13.14,2024,1
13.54,2024,2
14.14,2024,3
15.03,2024,4
15.91,2024,5
16.66,2024,6
16.91,2024,7
16.82,2024,8
16.17,2024,9
